,GENERAL,,General Notes ,,,,GSP Information,Answer,,,
,,,"ISW: Moderate analysis but lack of detail in ISW section. Unclear map. Appendix E provides more details on the model used. There are a lot data gaps, including a lack of shallow groundwater data, but the plan concludes that uncertain areas are not important due to a lack of surface water. 
GDE: Like the ISW section, the plan itself includes few details but Appendix D provides a thorough overview of the GDEs with maps and tables of flora and fauna. Only spring of 2019 groundwater data was used to assess GDEs. Other methods were used including rooting depths and aerial imagery.
SMC: The SMC section is a duplicate of Piru GSP, they have done a good job on evaluation GW level but haven't done any specific evaluation specificully on GW quality on SMC section.
PMA: 
CLIMATE CHANGE: ",,,,GSP ID,15,,,
,,,,,,,GSA Name,Fillmore and Piru Basins GSA,,,
,,,,,,,Subbasin Name,SANTA CLARA RIVER VALLEY - FILLMORE,,,
,,,,,,,Consultant,"DANIEL B. STEPHENS & ASSOCIATES, INC.",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,2126,,,
,,,,,,,DAC Population,NA,,,
,,,,,,,Tribal population,NA,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,
,,,,,,,Point Contact Name,Sara,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Beneficial users and uses in the Basin include: • Agricultural and domestic well owners; • The City of Fillmore (municipal well operator); • UWCD and a number of mutual water companies (public water systems); • Santa Clara River GDEs, primarily the East Grove and Cienega Riparian Complex areas (see Section 2.2.2.8 for a summary and Appendix D [Stillwater, 2021a] for a detailed description); • Ventura County and City of Fillmore planning departments; and • Disadvantaged communities, located in the southwest and east portions of the Basin (including the eastern half of the City of Fillmore). The FPBGSA made Stakeholder engagement a priority during the entire GSP preparation process. At the outset of GSP development, the FPBGSA prepared a Communications and Engagement (C&E) Plan to identify methods, resources, and tools for conducting stakeholder outreach and engagement consistent with SGMA requirements. The C&E Plan is included as Appendix B. The FPBGSA compiled a stakeholder list, composed of beneficial users and other interested parties. It notified the public about GSP development status and upcoming meetings on the GSP via:
• emails and mailings to the stakeholder list, • social media postings on the FPBGSA Facebook page (https://www.facebook.com/FPBGSA/), • updates on the Agency’s website (https://www.fpbgsa.org/), and • information provided at meetings held by other local agencies and organizations, described further below.  Stakeholder education, engagement, and input opportunities were provided at numerous FPBGSA Board Meetings and Stakeholder Workshops throughout the GSP development process as listed in Appendix C.","2-13 / 2.1.5.1
2-16 / 2.1.5.3.1
Table 2.1-3, 2-14 / 2.1.5.2","1. DAC's identified? (yes/no): Yes
2. If yes, which level of engagment: Inform and Consult
3. Evidence/strategies listed for level of engagement: Disadvantaged Communities identified as a beneficial user in Table 2.1-3 and Stakeholder engagement is said to include outreach/notification of GSP development, and meetings, emails/mailings, updates to website"
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"There are no California Native American tribal lands, federal lands with groundwater use, users of surface water with a hydrologic connection to groundwater, or monitoring and reporting entities (per SGMA Section 10927) within the Basin",,"1. Tribes identified? (yes/no):  There are no Tribal lands in the Basin (cross checked SGMA Data Viewer & TNC Tribal Lands Map)
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:"
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"Beneficial users and uses in the Basin include: • Agricultural and domestic well owners; • The City of Fillmore (municipal well operator); • UWCD and a number of mutual water companies (public water systems); • Santa Clara River GDEs, primarily the East Grove and Cienega Riparian Complex areas (see Section 2.2.2.8 for a summary and Appendix D [Stillwater, 2021a] for a detailed description);
• Ventura County and City of Fillmore planning departments; and • Disadvantaged communities, located in the southwest and east portions of the Basin (including the eastern half of the City of Fillmore). The FPBGSA made Stakeholder engagement a priority during the entire GSP preparation process. At the outset of GSP development, the FPBGSA prepared a Communications and Engagement (C&E) Plan to identify methods, resources, and tools for conducting stakeholder outreach and engagement consistent with SGMA requirements. The C&E Plan is included as Appendix B. The FPBGSA compiled a stakeholder list, composed of beneficial users and other interested parties. It notified the public about GSP development status and upcoming meetings on the GSP via:
• emails and mailings to the stakeholder list, • social media postings on the FPBGSA Facebook page (https://www.facebook.com/FPBGSA/), • updates on the Agency’s website (https://www.fpbgsa.org/), and • information provided at meetings held by other local agencies and organizations, described further below.  Stakeholder education, engagement, and input opportunities were provided at numerous FPBGSA Board Meetings and Stakeholder Workshops throughout the GSP development process as listed in Appendix C.","2-13 / 2.1.5.1
2-16 / 2.1.5.3.1
Table 2.1-3, 2-14 / 2.1.5.2","
1. Environmental Stakeholders identified? Yes (Santa Clara River GDEs)
2. Which level of engagment: Inform and Consult
3. Evidence/strategies listed for level of engagement:"
